locus	compartment	location
AT3G53260	Cytoplasm	Cytoplasm
AT3G54050	Chloroplast	Plastid, chloroplast stroma
AT3G54270	Other / unknown	
AT3G54660	Chloroplast	Plastid, chloroplast
AT3G54850	Other / unknown	
AT3G54890	Chloroplast	Plastid, chloroplast thylakoid membrane
AT3G54940	Other / unknown	
AT3G55040	Chloroplast	Plastid, chloroplast
AT3G55120	Other / unknown	
AT3G55180	Other / unknown	
AT3G55330	Chloroplast	Plastid, chloroplast thylakoid lumen
AT3G55650	Cytoplasm	Cytoplasm
AT3G55800	Chloroplast	Plastid, chloroplast
AT3G56380	Nucleus	Nucleus
AT3G56760	Membrane	Membrane
AT3G56800	Other / unknown	
AT3G57040	Nucleus	Nucleus
AT3G57130	Cytoplasm	Cytoplasm
AT3G57140	Other / unknown	Lipid droplet
AT3G57530	Nucleus	Nucleus
AT3G59060	Nucleus	Nucleus
AT3G59350	Plasma membrane	Cell membrane
AT3G59440	Other / unknown	
AT3G59480	Other / unknown	
AT3G60120	Other / unknown	
AT3G60140	Other / unknown	
AT3G60330	Membrane	Membrane
AT3G60690	Other / unknown	
AT3G60750	Chloroplast	Plastid, chloroplast stroma
AT3G61470	Chloroplast	Plastid, chloroplast thylakoid membrane
AT3G61610	Other / unknown	
AT3G61830	Nucleus	Nucleus
AT3G61900	Other / unknown	
AT3G62090	Nucleus	Nucleus
AT3G62100	Nucleus	Nucleus
AT3G62220	Cytoplasm	Cytoplasm
AT3G62740	Other / unknown	
AT3G62750	Other / unknown	
AT3G62760	Cytoplasm	Cytoplasm, cytosol
AT3G62860	Other / unknown	
AT3G63010	Nucleus	Nucleus
AT3G63080	Plasma membrane	Cell membrane
AT3G63110	Chloroplast	Plastid, chloroplast
AT3G63440	Cell wall / apoplast	Secreted, extracellular space
AT3G66658	Cell wall / apoplast	Secreted
AT4G00050	Nucleus	Nucleus
AT4G00490	Chloroplast	Plastid, chloroplast
AT4G00710	Plasma membrane	Cell membrane
AT4G00880	Other / unknown	
AT4G01010	Plasma membrane	Cell membrane
AT4G01026	Cytoplasm	Cytoplasm
AT4G01250	Nucleus	Nucleus
AT4G02280	Other / unknown	
AT4G02290	Cell wall / apoplast	Secreted
AT4G02520	Cytoplasm	Cytoplasm, cytosol
AT4G02770	Chloroplast	Plastid, chloroplast thylakoid membrane
AT4G02930	Mitochondrion	Mitochondrion
AT4G03190	Nucleus	Nucleus
AT4G03280	Chloroplast	Plastid, chloroplast thylakoid membrane
AT4G03290	Other / unknown	
AT4G03400	Other / unknown	
AT4G04040	Cytoplasm	Cytoplasm
AT4G04640	Chloroplast	Plastid, chloroplast thylakoid membrane
AT4G04695	Membrane	Membrane
AT4G04710	Membrane	Membrane
AT4G05160	Peroxisome	Peroxisome
AT4G05180	Chloroplast	Plastid, chloroplast thylakoid membrane
AT4G05390	Chloroplast	Plastid, chloroplast
AT4G08500	Plasma membrane	Cell membrane
AT4G08770	Cell wall / apoplast	Secreted
AT4G08780	Cell wall / apoplast	Secreted
AT4G08920	Cytoplasm	Cytoplasm
AT4G09020	Chloroplast	Plastid, chloroplast
AT4G09510	Cytoplasm	Cytoplasm, cytosol
AT4G09570	Cytoplasm	Cytoplasm
AT4G09650	Chloroplast	Plastid, chloroplast thylakoid membrane
AT4G10120	Other / unknown	
AT4G10260	Other / unknown	
AT4G10340	Chloroplast	Plastid, chloroplast thylakoid membrane
AT4G11050	Cell wall / apoplast	Secreted
AT4G11110	Nucleus	Nucleus
AT4G11230	Membrane	Membrane
AT4G11290	Cell wall / apoplast	Secreted
AT4G11600	Mitochondrion	Mitochondrion
AT4G11730	Membrane	Membrane
AT4G11980	Chloroplast	Plastid, chloroplast
AT4G12290	Cell wall / apoplast	Secreted, extracellular space, apoplast
AT4G12410	Other / unknown	
AT4G12430	Other / unknown	
AT4G12800	Chloroplast	Plastid, chloroplast membrane
AT4G13010	Chloroplast	Plastid, chloroplast inner membrane
AT4G13260	Other / unknown	
AT4G13790	Other / unknown	
AT4G14440	Cytoplasm	Cytoplasm
AT4G14550	Nucleus	Nucleus
AT4G14560	Nucleus	Nucleus
AT4G14640	Other / unknown	
AT4G14890	Chloroplast	Plastid, chloroplast
AT4G14940	Cell wall / apoplast	Secreted
AT4G15210	Cytoplasm	Cytoplasm
AT4G15480	Other / unknown	
AT4G15490	Other / unknown	
AT4G15500	Other / unknown	
AT4G15530	Chloroplast	Plastid, chloroplast
AT4G16110	Nucleus	Nucleus
AT4G16155	Chloroplast	Plastid, chloroplast stroma
AT4G16190	Vacuole	Lytic vacuole
AT4G16210	Peroxisome	Peroxisome
AT4G16270	Cell wall / apoplast	Secreted
AT4G16760	Peroxisome	Peroxisome
AT4G17090	Chloroplast	Plastid, chloroplast
AT4G17260	Other / unknown	
AT4G17770	Other / unknown	
AT4G17870	Cytoplasm	Cytoplasm
AT4G18240	Chloroplast	Plastid, chloroplast
AT4G18710	Cytoplasm	Cytoplasm, cell cortex
AT4G19010	Peroxisome	Peroxisome
AT4G19660	Nucleus	Nucleus
AT4G19860	Other / unknown	
AT4G20360	Chloroplast	Plastid, chloroplast
AT4G20370	Cytoplasm	Cytoplasm
AT4G20780	Other / unknown	
AT4G21280	Chloroplast	Plastid, chloroplast thylakoid membrane
AT4G21760	Other / unknown	
AT4G21940	Membrane	Membrane
AT4G21960	Cell wall / apoplast	Secreted
AT4G22110	Cytoplasm	Cytoplasm
AT4G22590	Other / unknown	
AT4G22620	Other / unknown	
AT4G23100	Chloroplast	Plastid, chloroplast
AT4G23550	Nucleus	Nucleus
AT4G23570	Other / unknown	
AT4G23590	Other / unknown	
AT4G23730	Other / unknown	
AT4G23980	Nucleus	Nucleus
AT4G24040	Plasma membrane	[Isoform 1]: Cell membrane
AT4G24190	Endoplasmic reticulum	Endoplasmic reticulum lumen
AT4G24260	Plasma membrane	Cell membrane
AT4G24670	Membrane	Membrane
AT4G25000	Cell wall / apoplast	Secreted, extracellular space, apoplast
AT4G25090	Membrane	Membrane
AT4G26010	Cell wall / apoplast	Secreted
AT4G26080	Nucleus	Nucleus
AT4G26090	Cytoplasm	Cytoplasm
AT4G26120	Cytoplasm	Cytoplasm
AT4G26150	Nucleus	Nucleus
AT4G26220	Other / unknown	
AT4G26270	Cytoplasm	Cytoplasm
AT4G26390	Cytoplasm	Cytoplasm, cytosol
AT4G26470	Other / unknown	
AT4G26520	Cytoplasm	Cytoplasm, cytosol
AT4G26530	Cytoplasm	Cytoplasm, cytosol
AT4G27260	Other / unknown	
AT4G27550	Other / unknown	
AT4G27820	Other / unknown	
AT4G27830	Other / unknown	
AT4G28410	Other / unknown	
AT4G28420	Other / unknown	
AT4G28640	Nucleus	Nucleus
AT4G28660	Chloroplast	Plastid, chloroplast thylakoid membrane
AT4G28720	Other / unknown	
AT4G28750	Chloroplast	Plastid, chloroplast thylakoid membrane
AT4G28790	Nucleus	Nucleus
AT4G28800	Nucleus	Nucleus
AT4G28811	Nucleus	Nucleus
AT4G29080	Nucleus	Nucleus
AT4G29220	Cytoplasm	Cytoplasm
AT4G29740	Cell wall / apoplast	Secreted, extracellular space
AT4G30080	Nucleus	Nucleus
AT4G30170	Cell wall / apoplast	Secreted
AT4G30190	Plasma membrane	Cell membrane
AT4G30560	Plasma membrane	Cell membrane
AT4G30920	Chloroplast	Plastid, chloroplast
AT4G31140	Plasma membrane	Cell membrane
AT4G31290	Cytoplasm	Cytoplasm
AT4G31320	Other / unknown	
AT4G31760	Cell wall / apoplast	Secreted
AT4G31870	Chloroplast	Plastid, chloroplast
AT4G31920	Nucleus	Nucleus
AT4G32260	Membrane	Membrane
AT4G32280	Nucleus	Nucleus
AT4G32320	Other / unknown	
AT4G32540	Other / unknown	
AT4G32840	Cytoplasm	Cytoplasm
AT4G33070	Other / unknown	
AT4G33420	Cell wall / apoplast	Secreted
AT4G33430	Plasma membrane	Cell membrane
AT4G33720	Other / unknown	
AT4G33730	Other / unknown	
AT4G33950	Nucleus	Nucleus
AT4G34000	Other / unknown	
AT4G34050	Other / unknown	
AT4G34160	Other / unknown	
AT4G34230	Other / unknown	
AT4G34240	Chloroplast	Plastid, chloroplast
AT4G34250	Membrane	Membrane
AT4G34510	Membrane	Membrane
AT4G34750	Other / unknown	
AT4G34760	Plasma membrane	Cell membrane
AT4G34770	Other / unknown	
AT4G34790	Other / unknown	
AT4G34800	Other / unknown	
AT4G34810	Other / unknown	
AT4G34860	Other / unknown	
AT4G34880	Other / unknown	
AT4G35000	Peroxisome	Peroxisome membrane
AT4G35230	Plasma membrane	Cell membrane
AT4G35310	Membrane	Membrane
AT4G35900	Nucleus	Nucleus
AT4G35970	Peroxisome	Peroxisome membrane
AT4G36070	Membrane	Membrane
AT4G36110	Plasma membrane	Cell membrane
AT4G36220	Membrane	Membrane
AT4G36250	Other / unknown	
AT4G36430	Cell wall / apoplast	Secreted
AT4G36780	Other / unknown	
AT4G36930	Nucleus	Nucleus
AT4G37010	Cytoplasm	Cytoplasm
AT4G37390	Other / unknown	
AT4G37520	Cell wall / apoplast	Secreted
AT4G37530	Cell wall / apoplast	Secreted
AT4G37870	Cytoplasm	Cytoplasm
AT4G37970	Other / unknown	
AT4G37980	Other / unknown	
AT4G37990	Other / unknown	
AT4G38230	Other / unknown	
AT4G38825	Other / unknown	
AT4G38840	Other / unknown	
AT4G38850	Plasma membrane	Cell membrane
AT4G38860	Plasma membrane	Cell membrane
AT4G38970	Chloroplast	Plastid, chloroplast, plastoglobule
AT4G39000	Cell wall / apoplast	Secreted
AT4G39010	Cell wall / apoplast	Secreted
AT4G39090	Vacuole	Lytic vacuole
AT4G39210	Chloroplast	Plastid, chloroplast
AT4G39330	Other / unknown	
AT4G39400	Plasma membrane	Cell membrane
AT4G39640	Cell wall / apoplast	Secreted, extracellular space, apoplast
AT4G39650	Cell wall / apoplast	Secreted, extracellular space, apoplast
AT4G39770	Other / unknown	
AT4G40010	Other / unknown	
AT5G01240	Plasma membrane	Cell membrane
AT5G01320	Other / unknown	
AT5G01330	Other / unknown	
AT5G01530	Chloroplast	Plastid, chloroplast thylakoid membrane
AT5G01670	Other / unknown	
AT5G02780	Cytoplasm	Cytoplasm, cytosol
AT5G02790	Cytoplasm	Cytoplasm, cytosol
AT5G02810	Nucleus	Nucleus
AT5G03650	Chloroplast	Plastid, chloroplast stroma
AT5G03730	Other / unknown	
AT5G04040	Other / unknown	Lipid droplet
AT5G04170	Other / unknown	
AT5G04230	Cytoplasm	Cytoplasm
AT5G04330	Membrane	Membrane
AT5G04530	Membrane	Membrane
AT5G04870	Peroxisome	Peroxisome membrane
AT5G04885	Other / unknown	
AT5G05270	Other / unknown	
AT5G05340	Cell wall / apoplast	Secreted
AT5G05440	Cytoplasm	Cytoplasm
AT5G05870	Other / unknown	
AT5G06720	Cell wall / apoplast	Secreted
AT5G06730	Cell wall / apoplast	Secreted
AT5G06839	Nucleus	Nucleus
AT5G07390	Membrane	Membrane
AT5G07990	Endoplasmic reticulum	Endoplasmic reticulum membrane
AT5G08330	Nucleus	Nucleus
AT5G08590	Nucleus	Nucleus
AT5G08640	Cytoplasm	Cytoplasm
AT5G09640	Cell wall / apoplast	Secreted
AT5G09660	Peroxisome	Peroxisome
AT5G10030	Nucleus	Nucleus
AT5G10100	Other / unknown	
AT5G10120	Nucleus	Nucleus
AT5G10990	Other / unknown	
AT5G11110	Other / unknown	
AT5G11260	Nucleus	Nucleus
AT5G11320	Cytoplasm	[Isoform 1]: Cytoplasm
AT5G11520	Chloroplast	Plastid, chloroplast
AT5G11670	Cytoplasm	Cytoplasm
AT5G11920	Cell wall / apoplast	Secreted, extracellular space, apoplast
AT5G12180	Membrane	Membrane
AT5G12480	Plasma membrane	Cell membrane
AT5G13220	Nucleus	Nucleus
AT5G13320	Other / unknown	
AT5G13360	Other / unknown	
AT5G13370	Other / unknown	
AT5G13420	Cytoplasm	Cytoplasm
AT5G13930	Other / unknown	
AT5G14130	Cell wall / apoplast	Secreted
AT5G14500	Other / unknown	
AT5G14870	Plasma membrane	Cell membrane
AT5G15140	Cytoplasm	Cytoplasm
AT5G15180	Cell wall / apoplast	Secreted
AT5G15410	Plasma membrane	Cell membrane
AT5G15840	Nucleus	Nucleus
AT5G15850	Nucleus	Nucleus
AT5G16570	Cytoplasm	Cytoplasm
AT5G16580	Other / unknown	
AT5G16710	Chloroplast	Plastid, chloroplast stroma
AT5G17220	Cytoplasm	Cytoplasm, cytosol
AT5G17310	Cytoplasm	Cytoplasm
AT5G17490	Nucleus	Nucleus
AT5G17820	Cell wall / apoplast	Secreted
AT5G18010	Plasma membrane	Cell membrane
AT5G18020	Plasma membrane	Cell membrane
AT5G18030	Plasma membrane	Cell membrane
AT5G18050	Plasma membrane	Cell membrane
AT5G18060	Plasma membrane	Cell membrane
AT5G18080	Plasma membrane	Cell membrane
AT5G19040	Chloroplast	Plastid, chloroplast
AT5G19220	Chloroplast	Plastid, chloroplast
AT5G19880	Cell wall / apoplast	Secreted
AT5G19890	Cell wall / apoplast	Secreted
AT5G20040	Cytoplasm	Cytoplasm
AT5G20280	Other / unknown	
AT5G20480	Plasma membrane	Cell membrane
AT5G20730	Nucleus	Nucleus
AT5G20810	Other / unknown	
AT5G20830	Other / unknown	
AT5G20900	Nucleus	Nucleus
AT5G20940	Other / unknown	
AT5G20950	Other / unknown	
AT5G21120	Nucleus	Nucleus
AT5G21482	Cytoplasm	Cytoplasm, cytosol
AT5G22410	Cell wall / apoplast	Secreted
AT5G22510	Chloroplast	Plastid, chloroplast
AT5G23280	Nucleus	Nucleus
AT5G23580	Other / unknown	
AT5G23730	Nucleus	Nucleus
AT5G24070	Cell wall / apoplast	Secreted
AT5G24300	Chloroplast	Plastid, chloroplast
AT5G24470	Nucleus	Nucleus
AT5G24760	Cytoplasm	Cytoplasm
AT5G25350	Nucleus	Nucleus
AT5G25620	Cytoplasm	Cytoplasm
AT5G25880	Cytoplasm	Cytoplasm
AT5G25890	Nucleus	Nucleus
AT5G26220	Cytoplasm	Cytoplasm
AT5G26310	Other / unknown	
AT5G27320	Nucleus	Nucleus
AT5G28450	Chloroplast	Plastid, chloroplast thylakoid membrane
AT5G28510	Endoplasmic reticulum	Endoplasmic reticulum lumen
AT5G35630	Chloroplast	Plastid, chloroplast
AT5G35750	Endoplasmic reticulum	Endoplasmic reticulum membrane
AT5G35790	Chloroplast	Plastid, chloroplast stroma
AT5G36160	Other / unknown	
AT5G36890	Other / unknown	
AT5G37020	Nucleus	Nucleus
AT5G37180	Cell wall / apoplast	Secreted, cell wall
AT5G37600	Cytoplasm	Cytoplasm
AT5G37770	Other / unknown	
AT5G37780	Cytoplasm	Cytoplasm
AT5G38120	Peroxisome	Peroxisome
AT5G38410	Chloroplast	Plastid, chloroplast
AT5G38420	Chloroplast	Plastid, chloroplast
AT5G38430	Chloroplast	Plastid, chloroplast
AT5G38450	Membrane	Membrane
AT5G39340	Cytoplasm	Cytoplasm, cytosol
AT5G39580	Cell wall / apoplast	Secreted
AT5G40150	Cell wall / apoplast	Secreted
AT5G40760	Cytoplasm	Cytoplasm, cytosol
AT5G41260	Plasma membrane	Cell membrane
AT5G41670	Chloroplast	Plastid, chloroplast
AT5G42180	Cell wall / apoplast	Secreted
AT5G42250	Cytoplasm	Cytoplasm
AT5G42380	Other / unknown	
AT5G42650	Chloroplast	Plastid, chloroplast, plastoglobule
AT5G42740	Cytoplasm	Cytoplasm
AT5G42750	Plasma membrane	Cell membrane
AT5G42800	Other / unknown	
AT5G43330	Cytoplasm	Cytoplasm
AT5G43700	Nucleus	Nucleus
AT5G43760	Membrane	Membrane
AT5G43890	Other / unknown	
AT5G44460	Other / unknown	
AT5G44520	Chloroplast	Plastid, chloroplast
AT5G45040	Chloroplast	Plastid, chloroplast thylakoid lumen
AT5G45110	Nucleus	Nucleus
AT5G45250	Membrane	Endomembrane system
AT5G45300	Cytoplasm	Cytoplasm
AT5G45860	Cytoplasm	Cytoplasm
AT5G45870	Cytoplasm	Cytoplasm
AT5G46330	Plasma membrane	Cell membrane
AT5G46570	Plasma membrane	Cell membrane
AT5G46790	Cytoplasm	Cytoplasm
AT5G47000	Cell wall / apoplast	Secreted
AT5G47080	Cytoplasm	Cytoplasm, cytosol
AT5G47220	Nucleus	Nucleus
AT5G47810	Cytoplasm	Cytoplasm
AT5G47910	Membrane	Membrane
AT5G48300	Chloroplast	Plastid, chloroplast
AT5G48880	Peroxisome	Peroxisome
AT5G48930	Other / unknown	
AT5G49190	Cytoplasm	Cytoplasm
AT5G49480	Cytoplasm	Cytoplasm, cytosol
AT5G49720	Plasma membrane	Cell membrane
AT5G50760	Other / unknown	
AT5G51060	Membrane	Membrane
AT5G51460	Other / unknown	
AT5G51470	Other / unknown	
AT5G51760	Other / unknown	
AT5G51820	Chloroplast	Plastid, chloroplast
AT5G51830	Other / unknown	
AT5G51890	Cell wall / apoplast	Secreted
AT5G52250	Nucleus	Nucleus
AT5G52640	Cytoplasm	Cytoplasm
AT5G52920	Chloroplast	Plastid, chloroplast stroma
AT5G53120	Other / unknown	
AT5G53130	Plasma membrane	Cell membrane
AT5G53160	Cytoplasm	Cytoplasm, cytosol
AT5G53590	Other / unknown	
AT5G53890	Plasma membrane	Cell membrane
AT5G53970	Other / unknown	
AT5G54160	Cytoplasm	Cytoplasm
AT5G54250	Plasma membrane	Cell membrane
AT5G54270	Chloroplast	Plastid, chloroplast thylakoid membrane
AT5G54510	Other / unknown	
AT5G54570	Other / unknown	
AT5G54960	Other / unknown	
AT5G56000	Cytoplasm	Cytoplasm
AT5G56010	Cytoplasm	Cytoplasm
AT5G56030	Cytoplasm	Cytoplasm
AT5G56270	Nucleus	Nucleus
AT5G56350	Cytoplasm	Cytoplasm
AT5G56580	Cytoplasm	Cytoplasm, cytoskeleton, phragmoplast
AT5G56630	Cytoplasm	Cytoplasm
AT5G56720	Cytoplasm	Cytoplasm
AT5G56860	Nucleus	Nucleus
AT5G56970	Endoplasmic reticulum	Endoplasmic reticulum
AT5G57050	Other / unknown	
AT5G57170	Cell wall / apoplast	Secreted
AT5G57350	Plasma membrane	Cell membrane
AT5G57360	Nucleus	Nucleus
AT5G57560	Cell wall / apoplast	Secreted, cell wall
AT5G57840	Other / unknown	
AT5G57940	Plasma membrane	Cell membrane
AT5G58080	Nucleus	Nucleus
AT5G58330	Chloroplast	Plastid, chloroplast
AT5G58390	Cell wall / apoplast	Secreted
AT5G58400	Cell wall / apoplast	Secreted
AT5G59220	Golgi	Golgi apparatus
AT5G60100	Nucleus	Nucleus
AT5G60450	Nucleus	Nucleus
AT5G61270	Nucleus	Nucleus
AT5G61380	Nucleus	Nucleus
AT5G61410	Chloroplast	Plastid, chloroplast thylakoid membrane
AT5G61580	Chloroplast	Plastid, chloroplast
AT5G62430	Nucleus	Nucleus
AT5G62480	Cytoplasm	Cytoplasm, cytosol
AT5G62670	Membrane	Membrane
AT5G62920	Nucleus	Nucleus
AT5G63580	Other / unknown	
AT5G63590	Other / unknown	
AT5G63595	Other / unknown	
AT5G63600	Other / unknown	
AT5G63650	Other / unknown	
AT5G64040	Chloroplast	Plastid, chloroplast thylakoid membrane
AT5G64100	Cell wall / apoplast	Secreted
AT5G64110	Cell wall / apoplast	Secreted
AT5G64120	Cell wall / apoplast	Secreted
AT5G64380	Other / unknown	
AT5G64860	Chloroplast	Plastid, chloroplast
AT5G65100	Nucleus	Nucleus
AT5G65110	Peroxisome	Peroxisome
AT5G65140	Other / unknown	
AT5G65210	Nucleus	Nucleus
AT5G65670	Nucleus	Nucleus
AT5G65690	Cytoplasm	Cytoplasm
AT5G65870	Cell wall / apoplast	Secreted
AT5G66190	Chloroplast	Plastid, chloroplast stroma
AT5G66210	Plasma membrane	Cell membrane
AT5G66260	Other / unknown	
AT5G66390	Cell wall / apoplast	Secreted
AT5G66530	Other / unknown	
AT5G66570	Chloroplast	Plastid, chloroplast thylakoid membrane
AT5G66690	Other / unknown	
AT5G66880	Other / unknown	
AT5G67110	Nucleus	Nucleus
AT5G67260	Other / unknown	
AT5G67400	Cell wall / apoplast	Secreted
