locus	compartment
AT3G05970	Peroxisome
AT3G06010	Nucleus
AT3G06030	Cytoplasm
AT3G06035	Plasma membrane
AT3G06050	Mitochondrion
AT3G06060	Endoplasmic reticulum
AT3G06080	Membrane (unspecified)
AT3G06100	Membrane (unspecified)
AT3G06110	Nucleus
AT3G06120	Nucleus
AT3G06160	Nucleus
AT3G06190	Nucleus
AT3G06200	Chloroplast
AT3G06220	Nucleus
AT3G06250	Nucleus
AT3G06260	Golgi
AT3G06290	Nucleus
AT3G06300	Endoplasmic reticulum
AT3G06310	Mitochondrion
AT3G06350	Chloroplast
AT3G06360	Plasma membrane
AT3G06370	Vacuole
AT3G06390	Plasma membrane
AT3G06400	Nucleus
AT3G06410	Nucleus
AT3G06420	Cytoplasm
AT3G06430	Chloroplast
AT3G06440	Golgi
AT3G06450	Membrane (unspecified)
AT3G06480	Nucleus
AT3G06483	Mitochondrion
AT3G06490	Nucleus
AT3G06500	Mitochondrion
AT3G06510	Chloroplast
AT3G06530	Nucleus
AT3G06540	Cytoplasm
AT3G06550	Golgi
AT3G06560	Nucleus
AT3G06590	Nucleus
AT3G06600	Nucleus
AT3G06650	Cytoplasm
AT3G06720	Nucleus
AT3G06730	Chloroplast
AT3G06740	Nucleus
AT3G06760	Nucleus
AT3G06790	Mitochondrion
AT3G06810/AT3G06800	Peroxisome
AT3G06830	Cell wall / apoplast
AT3G06850	Mitochondrion
AT3G06860	Peroxisome
AT3G06930	Nucleus
AT3G06960	Chloroplast
AT3G06985	Cell wall / apoplast
AT3G07005	Cell wall / apoplast
AT3G07040	Membrane (unspecified)
AT3G07050	Nucleus
AT3G07070	Plasma membrane
AT3G07100	Cytoplasm
AT3G07130	Cell wall / apoplast
AT3G07160	Plasma membrane
AT3G07220	Nucleus
AT3G07260	Nucleus
AT3G07290	Mitochondrion
AT3G07330	Golgi
AT3G07340	Nucleus
AT3G07360	Nucleus
AT3G07390	Plasma membrane
AT3G07410	Plasma membrane
AT3G07420	Cytoplasm
AT3G07430	Chloroplast
AT3G07520	Membrane (unspecified)
AT3G07525	Membrane (unspecified)
AT3G07540	Membrane (unspecified)
AT3G07560	Peroxisome
AT3G07570	Membrane (unspecified)
AT3G07590	Nucleus
AT3G07610	Nucleus
AT3G07620	Golgi
AT3G07630	Chloroplast
AT3G07650	Nucleus
AT3G07680	Golgi
AT3G07690	Cytoplasm
AT3G07700	Chloroplast
AT3G07740	Nucleus
AT3G07770	Mitochondrion
AT3G07780	Nucleus
AT3G07800	Cytoplasm
AT3G07850	Cell wall / apoplast
AT3G07860	Nucleus
AT3G07880	Cytoplasm
AT3G07900	Membrane (unspecified)
AT3G07930	Nucleus
AT3G07950	Membrane (unspecified)
AT3G07970	Cell wall / apoplast
AT3G07980	Cytoplasm
AT3G07990	Cell wall / apoplast
AT3G08010	Chloroplast
AT3G08040	Plasma membrane
AT3G08500	Nucleus
AT3G08510	Plasma membrane
AT3G08530	Cytoplasm
AT3G08550	Cell wall / apoplast
AT3G08560	Vacuole
AT3G08580	Mitochondrion
AT3G08590	Cytoplasm
AT3G08610	Mitochondrion
AT3G08620	Nucleus
AT3G08630	Chloroplast
AT3G08640	Chloroplast
AT3G08650	Membrane (unspecified)
AT3G08680	Membrane (unspecified)
AT3G08710	Plasma membrane
AT3G08730	Cytoplasm
AT3G08790	Membrane (unspecified)
AT3G08800	Nucleus
AT3G08850	Cytoplasm
AT3G08860	Mitochondrion
AT3G08870	Plasma membrane
AT3G08880	Other / unknown
AT3G08900	Cytoplasm
AT3G08920	Membrane (unspecified)
AT3G08930	Membrane (unspecified)
AT3G08940	Chloroplast
AT3G08950	Mitochondrion
AT3G08970	Endoplasmic reticulum
AT3G09030	Cytoplasm
AT3G09040	Mitochondrion
AT3G09070	Plasma membrane
AT3G09090	Plasma membrane
AT3G09150	Chloroplast
AT3G09180	Nucleus
AT3G09220	Cell wall / apoplast
AT3G09230	Nucleus
AT3G09260	Endoplasmic reticulum
AT3G09270	Cytoplasm
AT3G09290	Nucleus
AT3G09320	Golgi
AT3G09330	Membrane (unspecified)
AT3G09340	Membrane (unspecified)
AT3G09370	Nucleus
AT3G09400	Nucleus
AT3G09405	Cell wall / apoplast
AT3G09410	Cell wall / apoplast
AT3G09440	Cytoplasm
AT3G09455	Endoplasmic reticulum
AT3G09470	Membrane (unspecified)
AT3G09480	Nucleus
AT3G09560	Cytoplasm
AT3G09600	Nucleus
AT3G09640	Cytoplasm
AT3G09650	Chloroplast
AT3G09660	Nucleus
AT3G09670	Nucleus
AT3G09700	Mitochondrion
AT3G09710	Nucleus
AT3G09735	Nucleus
AT3G09740	Membrane (unspecified)
AT3G09770	Plasma membrane
AT3G09780	Membrane (unspecified)
AT3G09790	Cytoplasm
AT3G09800	Cytoplasm
AT3G09810	Mitochondrion
AT3G09830	Plasma membrane
AT3G09840	Nucleus
AT3G09880	Nucleus
AT3G09900	Golgi
AT3G09910	Plasma membrane
AT3G09920	Membrane (unspecified)
AT3G09930	Cell wall / apoplast
AT3G09940	Cytoplasm
AT3G09960	Cytoplasm
AT3G09970	Cytoplasm
AT3G09990	Plasma membrane
AT3G10010	Nucleus
AT3G10050	Chloroplast
AT3G10060	Chloroplast
AT3G10070	Nucleus
AT3G10080	Cell wall / apoplast
AT3G10110	Mitochondrion
AT3G10113	Nucleus
AT3G10130	Chloroplast
AT3G10140	Mitochondrion
AT3G10150	Cell wall / apoplast
AT3G10160	Mitochondrion
AT3G10185	Cell wall / apoplast
AT3G10195	Cell wall / apoplast
AT3G10200	Endoplasmic reticulum
AT3G10220	Cytoplasm
AT3G10230	Chloroplast
AT3G10260	Endoplasmic reticulum
AT3G10270	Chloroplast
AT3G10280	Membrane (unspecified)
AT3G10290	Membrane (unspecified)
AT3G10320	Golgi
AT3G10330	Nucleus
AT3G10340	Cytoplasm
AT3G10350	Chloroplast
AT3G10360	Cytoplasm
AT3G10370	Mitochondrion
AT3G10380	Cytoplasm
AT3G10400	Nucleus
AT3G10410	Cell wall / apoplast
AT3G10420	Chloroplast
AT3G10450	Cell wall / apoplast
AT3G10480	Nucleus
AT3G10490	Nucleus
AT3G10500	Endoplasmic reticulum
AT3G10520	Cytoplasm
AT3G10525	Nucleus
AT3G10540	Cytoplasm
AT3G10550	Cytoplasm
AT3G10572	Peroxisome
AT3G10600	Chloroplast
AT3G10620	Chloroplast
AT3G10640	Membrane (unspecified)
AT3G10650	Nucleus
AT3G10660	Endoplasmic reticulum
AT3G10670	Chloroplast
AT3G10690	Chloroplast
AT3G10710	Membrane (unspecified)
AT3G10720	Cell wall / apoplast
AT3G10730	Nucleus
AT3G10740	Cell wall / apoplast
AT3G10780	Endoplasmic reticulum
AT3G10800	Endoplasmic reticulum
AT3G10820	Nucleus
AT3G10850	Cytoplasm
AT3G10860	Mitochondrion
AT3G10890	Cell wall / apoplast
AT3G10900	Cell wall / apoplast
AT3G10910	Membrane (unspecified)
AT3G10915	Endoplasmic reticulum
AT3G10920	Mitochondrion
AT3G10940	Chloroplast
AT3G10960	Membrane (unspecified)
AT3G11010	Plasma membrane
AT3G11020	Nucleus
AT3G11030	Golgi
AT3G11040	Cytoplasm
AT3G11050	Chloroplast
AT3G11080	Plasma membrane
AT3G11100	Nucleus
AT3G11110	Membrane (unspecified)
AT3G11130	Cytoplasm
AT3G11170	Chloroplast
AT3G11200	Nucleus
AT3G11210	Cell wall / apoplast
AT3G11220	Cytoplasm
AT3G11260	Nucleus
AT3G11320	Membrane (unspecified)
AT3G11397	Membrane (unspecified)
AT3G11430	Membrane (unspecified)
AT3G11440	Nucleus
AT3G11460	Mitochondrion
AT3G11510	Cytoplasm
AT3G11540	Cytoplasm
AT3G11550	Plasma membrane
AT3G11570	Membrane (unspecified)
AT3G11580	Nucleus
AT3G11600	Nucleus
AT3G11630	Chloroplast
AT3G11650	Plasma membrane
AT3G11660	Plasma membrane
AT3G11670	Chloroplast
AT3G11680	Membrane (unspecified)
AT3G11700	Cell wall / apoplast
AT3G11710	Cytoplasm
AT3G11730	Golgi
AT3G11770	Cytoplasm
AT3G11820	Plasma membrane
AT3G11830	Cytoplasm
AT3G11900	Endoplasmic reticulum
AT3G11945	Chloroplast
AT3G11964	Nucleus
AT3G11980	Chloroplast
AT3G12020	Chloroplast
AT3G12040	Nucleus
AT3G12060	Membrane (unspecified)
AT3G12090	Membrane (unspecified)
AT3G12100	Vacuole
AT3G12110	Cytoplasm
AT3G12120	Endoplasmic reticulum
AT3G12140	Nucleus
AT3G12145	Cytoplasm
AT3G12160	Cytoplasm
AT3G12180	Membrane (unspecified)
AT3G12203	Cell wall / apoplast
AT3G12220	Cell wall / apoplast
AT3G12230	Cell wall / apoplast
AT3G12240	Cell wall / apoplast
AT3G12250	Nucleus
AT3G12260	Mitochondrion
AT3G12270	Cytoplasm
AT3G12280	Nucleus
AT3G12360	Plasma membrane
AT3G12380	Nucleus
AT3G12400	Other / unknown
AT3G12490	Cell wall / apoplast
AT3G12500	Vacuole
AT3G12520	Membrane (unspecified)
AT3G12530	Nucleus
AT3G12560	Nucleus
AT3G12580	Cytoplasm
AT3G12587	Endoplasmic reticulum
AT3G12600	Mitochondrion
AT3G12620	Plasma membrane
AT3G12660	Plasma membrane
AT3G12680	Nucleus
AT3G12700	Chloroplast
AT3G12730	Nucleus
AT3G12740	Golgi
AT3G12750	Plasma membrane
AT3G12780	Chloroplast
AT3G12800	Peroxisome
AT3G12810	Nucleus
AT3G12820	Nucleus
AT3G12830	Cytoplasm
AT3G12930	Chloroplast
AT3G12980	Nucleus
AT3G12990	Cytoplasm
AT3G13040	Nucleus
AT3G13050	Membrane (unspecified)
AT3G13065	Membrane (unspecified)
AT3G13070	Chloroplast
AT3G13080	Membrane (unspecified)
AT3G13090	Membrane (unspecified)
AT3G13100	Membrane (unspecified)
AT3G13110	Mitochondrion
AT3G13120	Chloroplast
AT3G13160	Mitochondrion
AT3G13170	Other / unknown
AT3G13220	Plasma membrane
AT3G13222	Nucleus
AT3G13235	Cytoplasm
AT3G13290	Cytoplasm
AT3G13300	Cytoplasm
AT3G13320	Vacuole
AT3G13350	Nucleus
AT3G13360	Nucleus
AT3G13380	Plasma membrane
AT3G13445	Nucleus
AT3G13450	Mitochondrion
AT3G13460	Cytoplasm
AT3G13470	Chloroplast
AT3G13490	Chloroplast
AT3G13520	Plasma membrane
AT3G13530	Cytoplasm
AT3G13540	Nucleus
AT3G13550	Nucleus
AT3G13560	Plasma membrane
AT3G13570	Nucleus
AT3G13600	Cytoplasm
AT3G13620	Plasma membrane
AT3G13640	Membrane (unspecified)
AT3G13650	Cell wall / apoplast
AT3G13660	Cell wall / apoplast
AT3G13662	Cell wall / apoplast
AT3G13672	Cytoplasm
AT3G13710	Membrane (unspecified)
AT3G13720	Endoplasmic reticulum
AT3G13730	Endoplasmic reticulum
AT3G13750	Cell wall / apoplast
AT3G13770	Mitochondrion
AT3G13772	Membrane (unspecified)
AT3G13782	Nucleus
AT3G13784	Cell wall / apoplast
AT3G13790	Cell wall / apoplast
AT3G13810	Nucleus
AT3G13840	Nucleus
AT3G13860	Mitochondrion
AT3G13870	Endoplasmic reticulum
AT3G13890	Nucleus
AT3G13898	Cell wall / apoplast
AT3G13900	Plasma membrane
AT3G13920	Cytoplasm
AT3G13930	Mitochondrion
AT3G13960	Nucleus
AT3G13970	Cytoplasm
AT3G13980	Plasma membrane
AT3G14000	Nucleus
AT3G14020	Nucleus
AT3G14050	Chloroplast
AT3G14067	Cell wall / apoplast
AT3G14070	Vacuole
AT3G14080	Cytoplasm
AT3G14100	Nucleus
AT3G14110	Chloroplast
AT3G14120	Nucleus
AT3G14130	Peroxisome
AT3G14150	Peroxisome
AT3G14160	Nucleus
AT3G14170	Cytoplasm
AT3G14180	Nucleus
AT3G14190	Nucleus
AT3G14205	Vacuole
AT3G14210	Cell wall / apoplast
AT3G14220	Cell wall / apoplast
AT3G14225	Cell wall / apoplast
AT3G14230	Nucleus
AT3G14240	Cell wall / apoplast
AT3G14270	Membrane (unspecified)
AT3G14290	Cytoplasm
AT3G14300	Membrane (unspecified)
AT3G14310	Cell wall / apoplast
AT3G14320	Membrane (unspecified)
AT3G14350	Membrane (unspecified)
AT3G14360	Other / unknown
AT3G14362	Plasma membrane
AT3G14370	Cytoplasm
AT3G14380	Plasma membrane
AT3G14390	Chloroplast
AT3G14410	Membrane (unspecified)
AT3G14415	Peroxisome
AT3G14420	Peroxisome
AT3G14440	Chloroplast
AT3G14450	Nucleus
AT3G14490	Cytoplasm
AT3G14510	Chloroplast
AT3G14520	Cytoplasm
AT3G14530	Chloroplast
AT3G14540	Cytoplasm
AT3G14550	Chloroplast
AT3G14570	Plasma membrane
AT3G14580	Mitochondrion
AT3G14650	Membrane (unspecified)
AT3G14660	Membrane (unspecified)
AT3G14680	Membrane (unspecified)
AT3G14690	Membrane (unspecified)
AT3G14770	Plasma membrane
AT3G14810	Membrane (unspecified)
AT3G14820	Cell wall / apoplast
AT3G14840	Plasma membrane
AT3G14850	Membrane (unspecified)
AT3G14890	Nucleus
AT3G14930	Chloroplast
AT3G14940	Cytoplasm
AT3G14960	Golgi
AT3G14980	Nucleus
AT3G14990	Cytoplasm
AT3G15000	Mitochondrion
AT3G15010	Nucleus
AT3G15020	Mitochondrion
AT3G15030	Nucleus
AT3G15040	Cytoplasm
AT3G15050	Nucleus
AT3G15060	Plasma membrane
AT3G15150	Nucleus
AT3G15170	Nucleus
AT3G15190	Chloroplast
AT3G15210	Nucleus
AT3G15270	Nucleus
AT3G15300	Nucleus
AT3G15340	Plasma membrane
AT3G15352	Mitochondrion
AT3G15354	Nucleus
AT3G15356	Cell wall / apoplast
AT3G15360	Chloroplast
AT3G15370	Cell wall / apoplast
AT3G15380	Membrane (unspecified)
AT3G15460	Nucleus
AT3G15500	Nucleus
AT3G15510	Nucleus
AT3G15520	Chloroplast
AT3G15540	Nucleus
AT3G15580	Cytoplasm
AT3G15590	Mitochondrion
AT3G15640	Mitochondrion
AT3G15660	Mitochondrion
AT3G15670	Cytoplasm
AT3G15720	Cell wall / apoplast
AT3G15730	Cytoplasm
AT3G15790	Nucleus
AT3G15820	Membrane (unspecified)
AT3G15830	Membrane (unspecified)
AT3G15840	Chloroplast
AT3G15850	Chloroplast
AT3G15870	Chloroplast
AT3G15880	Nucleus
AT3G15920	Cytoplasm
AT3G15950	Endoplasmic reticulum
AT3G15970	Nucleus
AT3G15980	Cytoplasm
AT3G15990	Membrane (unspecified)
AT3G16000	Chloroplast
AT3G16030	Plasma membrane
AT3G16050	Cytoplasm
AT3G16090	Endoplasmic reticulum
AT3G16100	Plasma membrane
AT3G16110	Endoplasmic reticulum
AT3G16140	Chloroplast
AT3G16160	Nucleus
AT3G16170	Cytoplasm
AT3G16180	Plasma membrane
AT3G16240	Vacuole
AT3G16250	Chloroplast
AT3G16260	Mitochondrion
AT3G16270	Golgi
AT3G16280	Nucleus
AT3G16290	Chloroplast
AT3G16300	Plasma membrane
AT3G16310	Nucleus
AT3G16320	Nucleus
AT3G16340	Membrane (unspecified)
AT3G16360	Cytoplasm
AT3G16370	Cell wall / apoplast
AT3G16380	Cytoplasm
AT3G16420	Cytoplasm
AT3G16480	Chloroplast
AT3G16490	Plasma membrane
AT3G16500	Nucleus
AT3G16530	Cell wall / apoplast
AT3G16540	Mitochondrion
AT3G16550	Mitochondrion
AT3G16570	Cell wall / apoplast
AT3G16620	Chloroplast
AT3G16630	Golgi
AT3G16640	Cytoplasm
AT3G16690	Vacuole
AT3G16700	Mitochondrion
AT3G16710	Mitochondrion
AT3G16720	Membrane (unspecified)
AT3G16730	Nucleus
AT3G16740	Nucleus
AT3G16770	Nucleus
AT3G16785	Cytoplasm
AT3G16810	Nucleus
AT3G16830	Nucleus
AT3G16857	Nucleus
AT3G16860	Plasma membrane
AT3G16870	Nucleus
AT3G16890	Mitochondrion
AT3G16895	Cell wall / apoplast
AT3G16910	Peroxisome
AT3G16920	Cell wall / apoplast
AT3G16940	Nucleus
AT3G16950	Chloroplast
AT3G16980	Nucleus
AT3G17000	Membrane (unspecified)
AT3G17010	Nucleus
AT3G17040	Chloroplast
AT3G17050	Cell wall / apoplast
AT3G17060	Cell wall / apoplast
AT3G17070	Cell wall / apoplast
AT3G17100	Nucleus
AT3G17155	Cell wall / apoplast
AT3G17170	Chloroplast
AT3G17180	Cell wall / apoplast
AT3G17220	Cell wall / apoplast
AT3G17240	Mitochondrion
AT3G17310	Nucleus
AT3G17360	Cytoplasm
AT3G17390	Cytoplasm
AT3G17410	Cytoplasm
AT3G17420	Plasma membrane
AT3G17430	Membrane (unspecified)
AT3G17440	Membrane (unspecified)
AT3G17465	Mitochondrion
AT3G17470	Chloroplast
AT3G17590	Nucleus
AT3G17600	Nucleus
AT3G17609	Nucleus
AT3G17611	Mitochondrion
AT3G17630	Membrane (unspecified)
AT3G17650	Membrane (unspecified)
AT3G17690	Plasma membrane
AT3G17700	Chloroplast
AT3G17790	Cell wall / apoplast
AT3G17800	Chloroplast
AT3G17810	Chloroplast
AT3G17820	Cytoplasm
AT3G17840	Plasma membrane
AT3G17860	Nucleus
AT3G17910	Mitochondrion
AT3G17970	Chloroplast
AT3G17980	Plasma membrane
AT3G18000	Cytoplasm
AT3G18010	Nucleus
AT3G18080	Cell wall / apoplast
AT3G18090	Nucleus
AT3G18110	Chloroplast
AT3G18140	Other / unknown
AT3G18160	Peroxisome
AT3G18165	Nucleus
AT3G18190	Cytoplasm
AT3G18200	Membrane (unspecified)
AT3G18210	Nucleus
AT3G18220	Membrane (unspecified)
AT3G18260	Endoplasmic reticulum
AT3G18290	Membrane (unspecified)
AT3G18360	Nucleus
AT3G18380	Nucleus
AT3G18410	Mitochondrion
AT3G18420	Chloroplast
AT3G18440	Vacuole
AT3G18450	Membrane (unspecified)
AT3G18460	Membrane (unspecified)
AT3G18470	Membrane (unspecified)
AT3G18480	Golgi
AT3G18485	Cytoplasm
AT3G18490	Endoplasmic reticulum
AT3G18500	Nucleus
AT3G18518	Plasma membrane
AT3G18520	Nucleus
AT3G18524	Nucleus
AT3G18550	Nucleus
AT3G18590	Plasma membrane
AT3G18610	Nucleus
AT3G18620	Vacuole
AT3G18630	Mitochondrion
AT3G18650	Nucleus
AT3G18660	Golgi
AT3G18680	Chloroplast
AT3G18690	Nucleus
AT3G18715	Cell wall / apoplast
AT3G18730	Nucleus
AT3G18770	Cytoplasm
AT3G18773	Membrane (unspecified)
AT3G18780	Cytoplasm
AT3G18810	Plasma membrane
AT3G18820	Membrane (unspecified)
AT3G18830	Plasma membrane
AT3G18850	Membrane (unspecified)
AT3G18890	Chloroplast
AT3G18930	Membrane (unspecified)
AT3G18960	Nucleus
AT3G18990	Nucleus
AT3G19020	Cell wall / apoplast
AT3G19040	Nucleus
AT3G19050	Cytoplasm
AT3G19090	Nucleus
AT3G19100	Membrane (unspecified)
AT3G19130	Nucleus
AT3G19140	Membrane (unspecified)
AT3G19150	Nucleus
AT3G19160	Chloroplast
AT3G19170	Chloroplast
AT3G19180	Chloroplast
AT3G19184	Nucleus
AT3G19190	Membrane (unspecified)
AT3G19210	Nucleus
AT3G19220	Chloroplast
AT3G19250	Membrane (unspecified)
AT3G19260	Endoplasmic reticulum
AT3G19270	Membrane (unspecified)
AT3G19280	Golgi
AT3G19290	Nucleus
AT3G19330	Membrane (unspecified)
AT3G19440	Mitochondrion
AT3G19460	Endoplasmic reticulum
AT3G19480	Chloroplast
AT3G19490	Chloroplast
AT3G19500	Nucleus
AT3G19510	Nucleus
AT3G19553	Plasma membrane
AT3G19570	Peroxisome
AT3G19580	Nucleus
AT3G19590	Nucleus
AT3G19600	Nucleus
AT3G19610	Cytoplasm
AT3G19620	Cell wall / apoplast
AT3G19640	Membrane (unspecified)
AT3G19670	Nucleus
AT3G19700	Membrane (unspecified)
AT3G19710	Cytoplasm
AT3G19720	Cytoplasm
AT3G19760	Nucleus
AT3G19800	Chloroplast
AT3G19810	Chloroplast
AT3G19820	Membrane (unspecified)
AT3G19840	Nucleus
AT3G19860	Nucleus
AT3G19930	Plasma membrane
AT3G19940	Membrane (unspecified)
AT3G19960	Other / unknown
AT3G19980	Cytoplasm
AT3G20000	Mitochondrion
AT3G20010	Nucleus
AT3G20040	Mitochondrion
AT3G20050	Cytoplasm
AT3G20060	Cytoplasm
AT3G20110	Membrane (unspecified)
AT3G20130	Membrane (unspecified)
AT3G20160	Mitochondrion
AT3G20190	Membrane (unspecified)
AT3G20210	Cell wall / apoplast
AT3G20240	Mitochondrion
AT3G20250	Cytoplasm
AT3G20290	Membrane (unspecified)
AT3G20310	Nucleus
AT3G20320	Chloroplast
AT3G20330	Chloroplast
AT3G20390	Chloroplast
AT3G20410	Plasma membrane
AT3G20420	Nucleus
AT3G20440	Chloroplast
AT3G20460	Membrane (unspecified)
AT3G20470	Vacuole
AT3G20475	Nucleus
AT3G20480	Mitochondrion
AT3G20500	Cell wall / apoplast
AT3G20510	Membrane (unspecified)
AT3G20520	Membrane (unspecified)
AT3G20530	Plasma membrane
AT3G20540	Mitochondrion
AT3G20550	Nucleus
AT3G20560	Membrane (unspecified)
AT3G20570	Plasma membrane
AT3G20580	Plasma membrane
AT3G20600	Plasma membrane
AT3G20640	Nucleus
AT3G20650	Nucleus
AT3G20660	Vacuole
AT3G20670	Nucleus
AT3G20740	Nucleus
AT3G20750	Nucleus
AT3G20760	Nucleus
AT3G20770	Nucleus
AT3G20780	Nucleus
AT3G20810	Nucleus
AT3G20830	Cytoplasm
AT3G20840	Nucleus
AT3G20865	Plasma membrane
AT3G20870	Endoplasmic reticulum
AT3G20880	Nucleus
AT3G20910	Nucleus
AT3G20930	Chloroplast
AT3G20970	Mitochondrion
AT3G20993	Cell wall / apoplast
AT3G20997	Cell wall / apoplast
AT3G21055	Chloroplast
AT3G21060	Nucleus
AT3G21090	Membrane (unspecified)
AT3G21110	Chloroplast
AT3G21150	Nucleus
AT3G21160	Golgi
AT3G21175	Nucleus
AT3G21180	Membrane (unspecified)
AT3G21190	Golgi
AT3G21200	Chloroplast
AT3G21250	Membrane (unspecified)
AT3G21270	Nucleus
AT3G21330	Nucleus
AT3G21340	Plasma membrane
AT3G21350	Nucleus
AT3G21370	Endoplasmic reticulum
AT3G21390	Mitochondrion
AT3G21420	Cytoplasm
AT3G21430	Nucleus
AT3G21460	Cytoplasm
AT3G21510	Cytoplasm
AT3G21520	Endoplasmic reticulum
AT3G21550	Endoplasmic reticulum
AT3G21580	Chloroplast
AT3G21620	Membrane (unspecified)
AT3G21630	Plasma membrane
AT3G21640	Plasma membrane
AT3G21650	Cytoplasm
AT3G21670	Membrane (unspecified)
AT3G21690	Vacuole
AT3G21710	Cytoplasm
AT3G21720	Peroxisome
AT3G21740	Mitochondrion
AT3G21770	Cell wall / apoplast
AT3G21820	Nucleus
AT3G21830	Nucleus
AT3G21840	Nucleus
AT3G21850	Nucleus
AT3G21860	Nucleus
AT3G21865	Peroxisome
AT3G21880	Nucleus
AT3G21900	Cell wall / apoplast
AT3G21910	Cell wall / apoplast
AT3G21920	Cell wall / apoplast
AT3G21930	Cell wall / apoplast
AT3G21933	Cell wall / apoplast
AT3G21937	Cell wall / apoplast
AT3G21940	Cell wall / apoplast
AT3G21945	Cell wall / apoplast
AT3G21960	Cell wall / apoplast
AT3G21965	Cell wall / apoplast
AT3G21970	Cell wall / apoplast
AT3G21980	Cell wall / apoplast
AT3G21985	Cell wall / apoplast
AT3G21990	Cell wall / apoplast
AT3G22000	Cell wall / apoplast
AT3G22010	Cell wall / apoplast
AT3G22020	Cell wall / apoplast
AT3G22030	Cell wall / apoplast
AT3G22040	Cell wall / apoplast
AT3G22050	Cell wall / apoplast
AT3G22053	Cell wall / apoplast
AT3G22057	Cell wall / apoplast
AT3G22060	Cell wall / apoplast
AT3G22100	Nucleus
AT3G22110	Cytoplasm
AT3G22150	Chloroplast
AT3G22160	Nucleus
AT3G22170	Nucleus
AT3G22180	Plasma membrane
AT3G22190	Nucleus
AT3G22200	Mitochondrion
AT3G22231	Plasma membrane
AT3G22235	Membrane (unspecified)
AT3G22240	Plasma membrane
AT3G22300	Mitochondrion
AT3G22310	Mitochondrion
AT3G22320	Nucleus
AT3G22330	Mitochondrion
AT3G22360	Mitochondrion
AT3G22370	Mitochondrion
AT3G22380	Nucleus
AT3G22425	Chloroplast
AT3G22460	Cytoplasm
AT3G22470	Mitochondrion
AT3G22480	Cytoplasm
AT3G22490	Nucleus
AT3G22500	Cytoplasm
AT3G22570	Plasma membrane
AT3G22590	Nucleus
AT3G22600	Plasma membrane
AT3G22620	Plasma membrane
AT3G22630	Cytoplasm
AT3G22660	Nucleus
AT3G22670	Mitochondrion
AT3G22680	Nucleus
AT3G22760	Nucleus
AT3G22780	Nucleus
AT3G22790	Cytoplasm
AT3G22800	Cell wall / apoplast
AT3G22820	Cell wall / apoplast
AT3G22830	Cytoplasm
AT3G22840	Chloroplast
AT3G22845	Golgi
AT3G22880	Nucleus
AT3G22890	Chloroplast
AT3G22900	Nucleus
AT3G22910	Membrane (unspecified)
AT3G22920	Membrane (unspecified)
AT3G22942	Plasma membrane
AT3G22960	Chloroplast
AT3G22990	Nucleus
AT3G23010	Plasma membrane
AT3G23030	Nucleus
AT3G23050	Nucleus
AT3G23070	Chloroplast
AT3G23090	Cytoplasm
AT3G23100	Nucleus
AT3G23110	Plasma membrane
AT3G23120	Plasma membrane
AT3G23130	Nucleus
AT3G23150	Endoplasmic reticulum
AT3G23165	Cell wall / apoplast
AT3G23167	Cell wall / apoplast
AT3G23200	Plasma membrane
AT3G23210	Nucleus
AT3G23220	Nucleus
AT3G23230	Nucleus
AT3G23240	Nucleus
AT3G23250	Nucleus
AT3G23290	Nucleus
AT3G23300	Golgi
AT3G23340	Cytoplasm
AT3G23380	Plasma membrane
AT3G23400	Chloroplast
AT3G23410	Membrane (unspecified)
AT3G23430	Golgi
AT3G23550	Membrane (unspecified)
AT3G23560	Membrane (unspecified)
AT3G23580	Cytoplasm
AT3G23590	Nucleus
AT3G23610	Nucleus
AT3G23620	Nucleus
AT3G23630	Mitochondrion
AT3G23635	Plasma membrane
AT3G23637	Plasma membrane
AT3G23660	Cytoplasm
AT3G23670	Cytoplasm
AT3G23690	Nucleus
AT3G23710	Chloroplast
AT3G23715	Cell wall / apoplast
AT3G23727	Cell wall / apoplast
AT3G23730	Cell wall / apoplast
AT3G23750	Membrane (unspecified)
AT3G23780	Nucleus
AT3G23790	Chloroplast
AT3G23805	Cell wall / apoplast
AT3G23820	Golgi
AT3G23830	Mitochondrion
AT3G23870	Plasma membrane
AT3G23920	Chloroplast
AT3G23940	Chloroplast
AT3G23980	Nucleus
AT3G23990	Mitochondrion
AT3G24000	Mitochondrion
AT3G24010	Nucleus
AT3G24020	Cell wall / apoplast
AT3G24050	Nucleus
AT3G24120	Nucleus
AT3G24130	Cell wall / apoplast
AT3G24140	Nucleus
AT3G24170	Cytoplasm
AT3G24220	Chloroplast
AT3G24225	Cell wall / apoplast
AT3G24240	Plasma membrane
AT3G24270	Cytoplasm
AT3G24290	Membrane (unspecified)
AT3G24300	Plasma membrane
AT3G24320	Mitochondrion
AT3G24340	Nucleus
AT3G24350	Golgi
AT3G24360	Mitochondrion
AT3G24400	Plasma membrane
AT3G24430	Chloroplast
AT3G24440	Nucleus
AT3G24480	Cell wall / apoplast
AT3G24495	Nucleus
AT3G24500	Nucleus
AT3G24503	Cytoplasm
AT3G24508	Cell wall / apoplast
AT3G24510	Cell wall / apoplast
AT3G24513	Cell wall / apoplast
AT3G24520	Nucleus
AT3G24540	Plasma membrane
AT3G24550	Plasma membrane
AT3G24590	Chloroplast
AT3G24620	Plasma membrane
AT3G24650	Nucleus
AT3G24660	Membrane (unspecified)
AT3G24770	Cell wall / apoplast
