locus	compartment
AT1G10710	Cytoplasm
AT1G10730	Golgi
AT1G10760	Chloroplast
AT1G10830	Chloroplast
AT1G10840	Cytoplasm
AT1G10910	Chloroplast
AT1G10930	Nucleus
AT1G10950	Membrane (unspecified)
AT1G10960	Chloroplast
AT1G10970	Chloroplast
AT1G11000	Membrane (unspecified)
AT1G11050	Membrane (unspecified)
AT1G11060	Nucleus
AT1G11080	Cell wall / apoplast
AT1G11130	Plasma membrane
AT1G11160	Cytoplasm
AT1G11180	Plasma membrane
AT1G11250	Membrane (unspecified)
AT1G11260	Plasma membrane
AT1G11280	Plasma membrane
AT1G11290	Chloroplast
AT1G11300	Plasma membrane
AT1G11303	Plasma membrane
AT1G11310	Membrane (unspecified)
AT1G11330	Plasma membrane
AT1G11340	Plasma membrane
AT1G11350	Plasma membrane
AT1G11370	Cell wall / apoplast
AT1G11400	Cytoplasm
AT1G11410	Plasma membrane
AT1G11430	Chloroplast
AT1G11450	Membrane (unspecified)
AT1G11460	Membrane (unspecified)
AT1G11475	Nucleus
AT1G11500	Endoplasmic reticulum
AT1G11530	Cytoplasm
AT1G11540	Membrane (unspecified)
AT1G11545	Cell wall / apoplast
AT1G11560	Endoplasmic reticulum
AT1G11580	Cell wall / apoplast
AT1G11590	Cell wall / apoplast
AT1G11610	Membrane (unspecified)
AT1G11630	Mitochondrion
AT1G11650	Nucleus
AT1G11670	Membrane (unspecified)
AT1G11680	Membrane (unspecified)
AT1G11700	Cytoplasm
AT1G11710	Mitochondrion
AT1G11720	Chloroplast
AT1G11730	Golgi
AT1G11750	Chloroplast
AT1G11760	Nucleus
AT1G11770	Cell wall / apoplast
AT1G11780	Nucleus
AT1G11790	Chloroplast
AT1G11820	Plasma membrane
AT1G11860	Mitochondrion
AT1G11870	Chloroplast
AT1G11890	Golgi
AT1G11910	Vacuole
AT1G11950	Nucleus
AT1G11960	Plasma membrane
AT1G11990	Membrane (unspecified)
AT1G12000	Cytoplasm
AT1G12040	Cell wall / apoplast
AT1G12060	Mitochondrion
AT1G12080	Cytoplasm
AT1G12110	Membrane (unspecified)
AT1G12220	Plasma membrane
AT1G12240	Vacuole
AT1G12250	Chloroplast
AT1G12260	Nucleus
AT1G12270	Cytoplasm
AT1G12300	Mitochondrion
AT1G12340	Membrane (unspecified)
