id:ID,label:LABEL,name
G:AT1G72450,Gene,AT1G72450
G:AT5G17490,Gene,AT5G17490
G:AT5G05440,Gene,AT5G05440
G:AT5G41260,Gene,AT5G41260
G:AT2G01820,Gene,AT2G01820
G:AT1G61950,Gene,AT1G61950
G:AT1G74950,Gene,AT1G74950
G:AT4G35310,Gene,AT4G35310
G:AT4G40010,Gene,AT4G40010
G:AT1G77690,Gene,AT1G77690
G:AT5G25350,Gene,AT5G25350
G:AT4G14560,Gene,AT4G14560
G:AT5G39340,Gene,AT5G39340
G:AT1G04550,Gene,AT1G04550
G:AT5G65870,Gene,AT5G65870
G:AT5G51470,Gene,AT5G51470
G:AT1G03445,Gene,AT1G03445
G:AT1G22070,Gene,AT1G22070
G:AT5G65670,Gene,AT5G65670
G:AT3G49780,Gene,AT3G49780
G:AT3G11410,Gene,AT3G11410
G:AT4G30080,Gene,AT4G30080
G:AT3G57040,Gene,AT3G57040
G:AT1G27320,Gene,AT1G27320
G:AT2G33310,Gene,AT2G33310
G:AT5G21120,Gene,AT5G21120
G:AT3G60690,Gene,AT3G60690
G:AT5G63650,Gene,AT5G63650
G:AT2G01830,Gene,AT2G01830
G:AT4G28790,Gene,AT4G28790
G:AT2G21210,Gene,AT2G21210
G:AT3G61900,Gene,AT3G61900
G:AT5G16570,Gene,AT5G16570
G:AT5G06839,Gene,AT5G06839
G:AT4G00710,Gene,AT4G00710
G:AT1G45249,Gene,AT1G45249
G:AT1G01360,Gene,AT1G01360
G:AT2G24400,Gene,AT2G24400
G:AT5G25620,Gene,AT5G25620
G:AT4G28640,Gene,AT4G28640
G:AT2G25490,Gene,AT2G25490
G:AT1G48670,Gene,AT1G48670
G:AT1G01740,Gene,AT1G01740
G:AT1G60940,Gene,AT1G60940
G:AT3G29350,Gene,AT3G29350
G:AT3G47950,Gene,AT3G47950
G:AT2G16580,Gene,AT2G16580
G:AT5G67260,Gene,AT5G67260
G:AT1G19220,Gene,AT1G19220
G:AT3G20410,Gene,AT3G20410
G:AT3G23750,Gene,AT3G23750
G:AT1G50060,Gene,AT1G50060
G:AT3G60330,Gene,AT3G60330
G:AT2G36210,Gene,AT2G36210
G:AT4G04695,Gene,AT4G04695
G:AT3G16360,Gene,AT3G16360
G:AT3G17600,Gene,AT3G17600
G:AT1G48500,Gene,AT1G48500
G:AT5G57350,Gene,AT5G57350
G:AT2G45210,Gene,AT2G45210
G:AT3G44735,Gene,AT3G44735
G:AT5G46790,Gene,AT5G46790
G:AT2G46990,Gene,AT2G46990
G:AT1G76040,Gene,AT1G76040
G:AT5G46570,Gene,AT5G46570
G:AT3G17860,Gene,AT3G17860
G:AT4G28720,Gene,AT4G28720
G:AT5G50760,Gene,AT5G50760
G:AT1G74740,Gene,AT1G74740
G:AT2G46970,Gene,AT2G46970
G:AT2G38120,Gene,AT2G38120
G:AT5G35750,Gene,AT5G35750
G:AT1G70560,Gene,AT1G70560
G:AT1G18890,Gene,AT1G18890
G:AT3G19100,Gene,AT3G19100
G:AT5G60450,Gene,AT5G60450
G:AT4G26080,Gene,AT4G26080
G:AT1G10940,Gene,AT1G10940
G:AT1G77850,Gene,AT1G77850
G:AT1G35670,Gene,AT1G35670
G:AT4G31320,Gene,AT4G31320
G:AT1G15580,Gene,AT1G15580
G:AT1G66200,Gene,AT1G66200
G:AT5G51760,Gene,AT5G51760
G:AT5G67110,Gene,AT5G67110
G:AT2G17290,Gene,AT2G17290
G:AT3G23050,Gene,AT3G23050
G:AT4G24670,Gene,AT4G24670
G:AT1G20470,Gene,AT1G20470
G:AT5G42750,Gene,AT5G42750
G:AT5G53590,Gene,AT5G53590
G:AT1G19840,Gene,AT1G19840
G:AT2G35890,Gene,AT2G35890
G:AT1G70700,Gene,AT1G70700
G:AT2G17890,Gene,AT2G17890
G:AT3G03450,Gene,AT3G03450
G:AT3G42640,Gene,AT3G42640
G:AT5G23580,Gene,AT5G23580
G:AT4G35230,Gene,AT4G35230
G:AT3G56800,Gene,AT3G56800
G:AT5G27320,Gene,AT5G27320
G:AT1G68640,Gene,AT1G68640
G:AT1G66150,Gene,AT1G66150
G:AT2G41110,Gene,AT2G41110
G:AT5G61270,Gene,AT5G61270
G:AT4G27260,Gene,AT4G27260
G:AT4G36930,Gene,AT4G36930
G:AT5G65210,Gene,AT5G65210
G:AT3G21510,Gene,AT3G21510
G:AT2G46700,Gene,AT2G46700
G:AT4G30190,Gene,AT4G30190
G:AT1G48470,Gene,AT1G48470
G:AT4G01026,Gene,AT4G01026
G:AT1G19850,Gene,AT1G19850
G:AT5G43890,Gene,AT5G43890
G:AT4G16110,Gene,AT4G16110
G:AT3G45640,Gene,AT3G45640
G:AT1G04100,Gene,AT1G04100
G:AT1G63500,Gene,AT1G63500
G:AT1G49580,Gene,AT1G49580
G:AT2G18960,Gene,AT2G18960
G:AT2G41140,Gene,AT2G41140
G:AT4G33730,Gene,AT4G33730
G:AT5G43700,Gene,AT5G43700
G:AT1G04180,Gene,AT1G04180
G:AT1G77920,Gene,AT1G77920
G:AT1G30330,Gene,AT1G30330
G:AT1G08320,Gene,AT1G08320
G:AT2G46690,Gene,AT2G46690
G:AT4G24190,Gene,AT4G24190
G:AT2G13790,Gene,AT2G13790
G:AT1G19780,Gene,AT1G19780
G:AT2G27480,Gene,AT2G27480
G:AT1G76650,Gene,AT1G76650
G:AT5G56030,Gene,AT5G56030
G:AT4G25090,Gene,AT4G25090
G:AT3G28910,Gene,AT3G28910
G:AT4G02930,Gene,AT4G02930
G:AT3G03000,Gene,AT3G03000
G:AT4G39090,Gene,AT4G39090
G:AT3G48080,Gene,AT3G48080
G:AT2G04880,Gene,AT2G04880
G:AT1G19230,Gene,AT1G19230
G:AT3G25600,Gene,AT3G25600
G:AT3G51920,Gene,AT3G51920
G:AT4G11230,Gene,AT4G11230
G:AT2G46450,Gene,AT2G46450
G:AT4G16190,Gene,AT4G16190
G:AT3G47450,Gene,AT3G47450
G:AT4G37010,Gene,AT4G37010
G:AT1G24620,Gene,AT1G24620
G:AT3G07490,Gene,AT3G07490
G:AT2G04030,Gene,AT2G04030
G:AT1G06700,Gene,AT1G06700
G:AT2G23980,Gene,AT2G23980
G:AT2G46430,Gene,AT2G46430
G:AT3G10300,Gene,AT3G10300
G:AT4G30560,Gene,AT4G30560
G:AT4G20780,Gene,AT4G20780
G:AT5G07390,Gene,AT5G07390
G:AT5G56010,Gene,AT5G56010
G:AT4G14640,Gene,AT4G14640
G:AT5G56270,Gene,AT5G56270
G:AT3G22930,Gene,AT3G22930
G:AT3G10190,Gene,AT3G10190
G:AT3G59350,Gene,AT3G59350
G:AT3G24110,Gene,AT3G24110
G:AT2G34930,Gene,AT2G34930
G:AT1G19440,Gene,AT1G19440
G:AT3G50770,Gene,AT3G50770
G:AT1G76640,Gene,AT1G76640
G:AT1G64060,Gene,AT1G64060
G:AT2G43230,Gene,AT2G43230
G:AT5G51060,Gene,AT5G51060
G:AT5G56580,Gene,AT5G56580
G:AT5G57940,Gene,AT5G57940
G:AT2G26250,Gene,AT2G26250
G:AT1G05990,Gene,AT1G05990
G:AT3G07770,Gene,AT3G07770
G:AT4G08500,Gene,AT4G08500
G:AT1G01340,Gene,AT1G01340
G:AT2G43290,Gene,AT2G43290
G:AT5G47910,Gene,AT5G47910
G:AT5G43760,Gene,AT5G43760
G:AT5G53130,Gene,AT5G53130
G:AT2G41100,Gene,AT2G41100
G:AT5G37770,Gene,AT5G37770
G:AT1G73630,Gene,AT1G73630
G:AT2G30250,Gene,AT2G30250
G:AT2G30740,Gene,AT2G30740
G:AT2G38470,Gene,AT2G38470
G:AT4G23550,Gene,AT4G23550
G:AT5G56000,Gene,AT5G56000
G:AT3G17410,Gene,AT3G17410
G:AT2G47060,Gene,AT2G47060
G:AT5G04170,Gene,AT5G04170
G:AT1G48210,Gene,AT1G48210
G:AT1G01120,Gene,AT1G01120
G:AT3G21630,Gene,AT3G21630
G:AT2G41410,Gene,AT2G41410
G:AT3G62220,Gene,AT3G62220
G:AT3G01830,Gene,AT3G01830
G:AT2G46340,Gene,AT2G46340
G:AT5G08330,Gene,AT5G08330
G:AT5G23730,Gene,AT5G23730
G:AT5G47080,Gene,AT5G47080
G:AT5G15840,Gene,AT5G15840
G:AT2G18790,Gene,AT2G18790
G:AT1G04400,Gene,AT1G04400
G:AT5G23280,Gene,AT5G23280
G:AT5G57360,Gene,AT5G57360
G:AT2G29420,Gene,AT2G29420
G:AT2G30870,Gene,AT2G30870
G:AT1G17190,Gene,AT1G17190
G:AT3G23580,Gene,AT3G23580
G:AT3G43800,Gene,AT3G43800
G:AT3G55040,Gene,AT3G55040
G:AT1G09420,Gene,AT1G09420
G:AT3G27300,Gene,AT3G27300
G:AT5G02790,Gene,AT5G02790
G:AT1G70310,Gene,AT1G70310
G:AT2G31570,Gene,AT2G31570
G:AT1G17170,Gene,AT1G17170
G:AT3G03190,Gene,AT3G03190
G:AT5G62480,Gene,AT5G62480
G:AT1G10360,Gene,AT1G10360
G:AT2G29440,Gene,AT2G29440
G:AT4G30920,Gene,AT4G30920
G:AT1G53680,Gene,AT1G53680
G:AT5G17220,Gene,AT5G17220
G:AT3G27060,Gene,AT3G27060
G:AT1G54340,Gene,AT1G54340
G:AT5G40760,Gene,AT5G40760
